"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","spindle","2.46%","23","895","246","20808","9.86e-4","1.24e-2","2.17","5.12e-1","1.08e-2","4.18e-4"
"GOTERM_CC_DIRECT","perinuclear region of cytoplasm","5.45%","51","895","737","20808","1.00e-3","1.24e-2","1.61","5.18e-1","1.08e-2","6.01e-4"
"GOTERM_CC_DIRECT","external side of plasma membrane","3.42%","32","895","402","20808","1.28e-3","1.55e-2","1.85","6.05e-1","1.35e-2","6.47e-4"
"GOTERM_CC_DIRECT","ruffle membrane","1.39%","13","895","101","20808","1.31e-3","1.56e-2","2.99","6.13e-1","1.36e-2","3.89e-4"
"GOTERM_CC_DIRECT","mitotic spindle pole","0.86%","8","895","40","20808","1.42e-3","1.65e-2","4.65","6.45e-1","1.44e-2","2.56e-4"
"GOTERM_CC_DIRECT","collagen type IV trimer","0.43%","4","895","6","20808","1.43e-3","1.65e-2","15.50","6.48e-1","1.44e-2","4.76e-5"
"GOTERM_CC_DIRECT","chromosome, telomeric region","1.93%","18","895","178","20808","1.77e-3","1.99e-2","2.35","7.24e-1","1.74e-2","6.87e-4"
"GOTERM_CC_DIRECT","intermediate filament cytoskeleton","0.96%","9","895","53","20808","1.79e-3","1.99e-2","3.95","7.29e-1","1.74e-2","3.90e-4"
"GOTERM_CC_DIRECT","pericentric heterochromatin","0.75%","7","895","31","20808","1.81e-3","1.99e-2","5.25","7.32e-1","1.74e-2","2.83e-4"
"GOTERM_CC_DIRECT","protein-containing complex","5.67%","53","895","797","20808","1.90e-3","2.06e-2","1.55","7.49e-1","1.80e-2","1.14e-3"
"GOTERM_CC_DIRECT","receptor complex","2.14%","20","895","216","20808","2.54e-3","2.67e-2","2.15","8.43e-1","2.32e-2","1.09e-3"
"GOTERM_CC_DIRECT","intracellular membrane-bounded organelle","6.52%","61","895","963","20808","2.56e-3","2.67e-2","1.47","8.44e-1","2.32e-2","1.58e-3"
"GOTERM_CC_DIRECT","cleavage furrow","0.96%","9","895","56","20808","2.57e-3","2.67e-2","3.74","8.46e-1","2.32e-2","5.95e-4"
"GOTERM_CC_DIRECT","caveola","1.18%","11","895","82","20808","2.65e-3","2.71e-2","3.12","8.55e-1","2.37e-2","7.53e-4"
"GOTERM_CC_DIRECT","intracellular vesicle","0.64%","6","895","24","20808","3.11e-3","3.14e-2","5.81","8.96e-1","2.74e-2","4.30e-4"
"GOTERM_CC_DIRECT","membrane raft","2.14%","20","895","222","20808","3.45e-3","3.43e-2","2.09","9.19e-1","2.99e-2","1.52e-3"
"GOTERM_CC_DIRECT","nucleoplasm","22.35%","209","895","4091","20808","3.70e-3","3.64e-2","1.19","9.32e-1","3.17e-2","3.05e-3"
"GOTERM_CC_DIRECT","immunoglobulin complex, circulating","0.43%","4","895","8","20808","3.76e-3","3.65e-2","11.62","9.35e-1","3.18e-2","2.07e-4"
"GOTERM_CC_DIRECT","site of double-strand break","1.28%","12","895","101","20808","4.06e-3","3.88e-2","2.76","9.48e-1","3.39e-2","1.32e-3"
"GOTERM_CC_DIRECT","clathrin-coated pit","1.07%","10","895","76","20808","5.18e-3","4.88e-2","3.06","9.77e-1","4.26e-2","1.50e-3"
"GOTERM_CC_DIRECT","laminin-1 complex","0.32%","3","895","3","20808","5.37e-3","4.88e-2","23.25","9.80e-1","4.26e-2","7.93e-5"
"GOTERM_CC_DIRECT","collagen type V trimer","0.32%","3","895","3","20808","5.37e-3","4.88e-2","23.25","9.80e-1","4.26e-2","7.93e-5"
"GOTERM_CC_DIRECT","insulin-like growth factor binding protein complex","0.32%","3","895","3","20808","5.37e-3","4.88e-2","23.25","9.80e-1","4.26e-2","7.93e-5"
"GOTERM_CC_DIRECT","condensin complex","0.43%","4","895","9","20808","5.47e-3","4.91e-2","10.33","9.81e-1","4.28e-2","3.60e-4"
"GOTERM_CC_DIRECT","spindle midzone","0.64%","6","895","28","20808","6.24e-3","5.52e-2","4.98","9.89e-1","4.81e-2","1.04e-3"
"GOTERM_CC_DIRECT","mitotic spindle","1.60%","15","895","153","20808","6.30e-3","5.52e-2","2.28","9.90e-1","4.81e-2","2.52e-3"
"GOTERM_CC_DIRECT","filopodium membrane","0.53%","5","895","18","20808","6.39e-3","5.53e-2","6.46","9.91e-1","4.83e-2","7.81e-4"
"GOTERM_CC_DIRECT","condensed nuclear chromosome","0.86%","8","895","53","20808","7.27e-3","6.22e-2","3.51","9.95e-1","5.42e-2","1.81e-3"
"GOTERM_CC_DIRECT","nuclear replication fork","0.53%","5","895","19","20808","7.83e-3","6.62e-2","6.12","9.97e-1","5.77e-2","1.02e-3"
"GOTERM_CC_DIRECT","early endosome","2.78%","26","895","347","20808","8.44e-3","7.05e-2","1.74","9.98e-1","6.15e-2","4.51e-3"
"GOTERM_CC_DIRECT","podosome","0.75%","7","895","42","20808","8.65e-3","7.15e-2","3.87","9.98e-1","6.23e-2","1.92e-3"
"GOTERM_CC_DIRECT","centrosome","4.71%","44","895","688","20808","9.31e-3","7.55e-2","1.49","9.99e-1","6.59e-2","5.87e-3"
"GOTERM_CC_DIRECT","symbiont cell surface","0.53%","5","895","20","20808","9.46e-3","7.55e-2","5.81","9.99e-1","6.59e-2","1.32e-3"
"GOTERM_CC_DIRECT","condensed chromosome, centromeric region","0.53%","5","895","20","20808","9.46e-3","7.55e-2","5.81","9.99e-1","6.59e-2","1.32e-3"
"GOTERM_CC_DIRECT","actomyosin","0.43%","4","895","11","20808","1.01e-2","7.91e-2","8.45","9.99e-1","6.90e-2","8.80e-4"
"GOTERM_CC_DIRECT","alphav-beta3 integrin-IGF-1-IGF1R complex","0.32%","3","895","4","20808","1.04e-2","7.91e-2","17.44","1.00e+0","6.90e-2","3.07e-4"
"GOTERM_CC_DIRECT","insulin-like growth factor ternary complex","0.32%","3","895","4","20808","1.04e-2","7.91e-2","17.44","1.00e+0","6.90e-2","3.07e-4"
"GOTERM_CC_DIRECT","smooth muscle contractile fiber","0.32%","3","895","4","20808","1.04e-2","7.91e-2","17.44","1.00e+0","6.90e-2","3.07e-4"
"GOTERM_CC_DIRECT","actomyosin contractile ring","0.32%","3","895","4","20808","1.04e-2","7.91e-2","17.44","1.00e+0","6.90e-2","3.07e-4"
"GOTERM_CC_DIRECT","sarcoplasm","0.53%","5","895","21","20808","1.13e-2","8.38e-2","5.54","1.00e+0","7.30e-2","1.67e-3"
"GOTERM_CC_DIRECT","cell periphery","1.28%","12","895","116","20808","1.13e-2","8.38e-2","2.41","1.00e+0","7.30e-2","4.24e-3"
"GOTERM_CC_DIRECT","neuromuscular junction","1.07%","10","895","86","20808","1.15e-2","8.43e-2","2.70","1.00e+0","7.35e-2","3.79e-3"
"GOTERM_CC_DIRECT","sarcolemma","1.28%","12","895","118","20808","1.27e-2","9.26e-2","2.36","1.00e+0","8.07e-2","4.87e-3"
"GOTERM_CC_DIRECT","postsynapse","2.14%","20","895","254","20808","1.39e-2","1.00e-1","1.83","1.00e+0","8.74e-2","7.01e-3"
"GOTERM_CC_DIRECT","microvillus membrane","0.64%","6","895","34","20808","1.43e-2","1.02e-1","4.10","1.00e+0","8.90e-2","2.98e-3"
"GOTERM_CC_DIRECT","Z disc","1.39%","13","895","137","20808","1.51e-2","1.06e-1","2.21","1.00e+0","9.22e-2","6.22e-3"
"GOTERM_CC_DIRECT","kinetochore","1.60%","15","895","170","20808","1.51e-2","1.06e-1","2.05","1.00e+0","9.22e-2","6.74e-3"
"GOTERM_CC_DIRECT","collagen type VI trimer","0.32%","3","895","5","20808","1.69e-2","1.16e-1","13.95","1.00e+0","1.01e-1","7.43e-4"
"GOTERM_CC_DIRECT","laminin complex","0.32%","3","895","5","20808","1.69e-2","1.16e-1","13.95","1.00e+0","1.01e-1","7.43e-4"
"GOTERM_CC_DIRECT","endomembrane system","3.32%","31","895","468","20808","1.95e-2","1.33e-1","1.54","1.00e+0","1.16e-1","1.18e-2"
"GOTERM_CC_DIRECT","collagen type XI trimer","0.32%","3","895","6","20808","2.46e-2","1.66e-1","11.62","1.00e+0","1.45e-1","1.44e-3"
"GOTERM_CC_DIRECT","apical part of cell","1.07%","10","895","98","20808","2.50e-2","1.67e-1","2.37","1.00e+0","1.46e-1","9.49e-3"
"GOTERM_CC_DIRECT","COPII-coated ER to Golgi transport vesicle","0.64%","6","895","40","20808","2.74e-2","1.81e-1","3.49","1.00e+0","1.58e-1","6.84e-3"
"GOTERM_CC_DIRECT","platelet alpha granule membrane","0.43%","4","895","17","20808","3.43e-2","2.24e-1","5.47","1.00e+0","1.96e-1","5.17e-3"
"GOTERM_CC_DIRECT","lysosome","3.53%","33","895","532","20808","3.58e-2","2.33e-1","1.44","1.00e+0","2.03e-1","2.28e-2"
"GOTERM_CC_DIRECT","microtubule","2.67%","25","895","377","20808","3.65e-2","2.35e-1","1.54","1.00e+0","2.05e-1","2.16e-2"
"GOTERM_CC_DIRECT","Schaffer collateral - CA1 synapse","1.07%","10","895","106","20808","3.88e-2","2.47e-1","2.19","1.00e+0","2.16e-1","1.59e-2"
"GOTERM_CC_DIRECT","plasma membrane protein complex","0.43%","4","895","18","20808","3.98e-2","2.52e-1","5.17","1.00e+0","2.20e-1","6.42e-3"
"GOTERM_CC_DIRECT","nuclear envelope","1.82%","17","895","230","20808","4.04e-2","2.53e-1","1.72","1.00e+0","2.21e-1","2.15e-2"
"GOTERM_CC_DIRECT","endocytic vesicle membrane","0.86%","8","895","76","20808","4.46e-2","2.77e-1","2.45","1.00e+0","2.41e-1","1.62e-2"
"GOTERM_CC_DIRECT","dendrite","3.32%","31","895","503","20808","4.52e-2","2.78e-1","1.43","1.00e+0","2.43e-1","2.91e-2"
"GOTERM_CC_DIRECT","NuA4 histone acetyltransferase complex","0.53%","5","895","32","20808","4.69e-2","2.86e-1","3.63","1.00e+0","2.50e-1","1.12e-2"
"GOTERM_CC_DIRECT","endocytic vesicle lumen","0.43%","4","895","20","20808","5.23e-2","3.17e-1","4.65","1.00e+0","2.76e-1","9.49e-3"
"GOTERM_CC_DIRECT","transport vesicle","1.07%","10","895","113","20808","5.44e-2","3.27e-1","2.06","1.00e+0","2.85e-1","2.38e-2"
"GOTERM_CC_DIRECT","microtubule cytoskeleton","2.03%","19","895","279","20808","5.73e-2","3.42e-1","1.58","1.00e+0","2.98e-1","3.33e-2"
"GOTERM_CC_DIRECT","actin filament","0.96%","9","895","98","20808","6.00e-2","3.55e-1","2.14","1.00e+0","3.09e-1","2.52e-2"
