"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ABCB10" 922.492422783484 -0.107377019114671 0.126301770895731 -0.850162419363993 0.395234792221952 0.881804013273575
"ABCB11" 6.05088031365039 0.128041450915075 1.31625380122741 0.0972771746571032 0.92250628200529 NA
"ABCB11_1" 0.480067428895073 -2.33612373655901 4.89237766145885 -0.477502739611153 0.633004170472487 NA
"ABCB4" 19.0918717135005 -1.91838725036869 0.848057357776159 -2.26209611033767 0.0236914658763938 0.217742830288321
"ABCB5" 8.5958809461671 0.98473183013153 1.1474767128767 0.858171515884476 0.390797762011499 NA
"ABCB6" 2785.70874576252 -0.214693195957969 0.0761488413152304 -2.81938887381374 0.00481151879199778 0.0694721461454447
"ABCB7" 1690.81292641459 0.0551190669710052 0.0940685422382654 0.585945797176219 0.557911939994722 0.946472553132633
"ABCB8" 1180.12446897793 -0.0485049291345202 0.104141697961311 -0.465758961914948 0.641388042737848 0.964758271712074
"ABCB9" 376.899397239726 -0.426928274306323 0.18071033229326 -2.36250063230196 0.0181521104746548 0.181605708057926
"ABCC1" 7478.14941555449 -0.0597666230536667 0.0722645975678357 -0.827052596502222 0.408207250643083 0.889643522574473
"ABCC10" 765.8660589791 -0.263522050393083 0.127433832130887 -2.06791278255229 0.0386482252061741 0.296758768981748
"ABCC11" 2.8736474619196 -2.31223499268712 2.36631744410944 -0.977144887488806 0.32849742797634 NA
"ABCC13" 2.20648703515076 -2.8443740605169 2.58582831319936 -1.09998565875305 0.271338370485789 NA
"ABCC1_1" 6219.17280188376 -0.0870981499309882 0.205049910759604 -0.424765607594437 0.671007551502011 0.970756351519493
"ABCC2" 135.128243321813 -0.183431914943433 0.289805036195412 -0.6329493695194 0.526766706617345 0.935337887881501
"ABCC3" 3883.30577317415 -0.00761493153127968 0.0758556318799937 -0.100387161012999 0.920036962302823 0.995544892111965
"ABCC4" 2865.41816453251 0.00802645991079321 0.0783500111946974 0.102443634511394 0.918404550502474 0.995544892111965
"ABCC5" 1824.02442672325 -0.389545366807855 0.104765395344165 -3.71826370270603 0.00020059681001366 0.00502636805791685
"ABCC5-AS1" 1.28567891898418 0.732819121849889 3.0049358261958 0.243871804336543 0.807330106854263 NA
"ABCC6" 5.44651092065818 -0.976096257272007 1.42734559571683 -0.68385418373873 0.494067247645818 NA
"ABCC6P1_1" 1.24528192881479 -1.8117775688736 3.63529667303151 -0.498385065052404 0.618212661376858 NA
"ABCC6P2" 1.94909347584261 0.0526519495756542 2.20966905803868 0.0238279797529447 0.980989821766803 NA
"ABCC6P2_1" 1.94909347584261 0.0526519495756542 2.20966905803868 0.0238279797529447 0.980989821766803 NA
"ABCC6_1" 5.44651092065818 -0.976096257272007 1.42734559571683 -0.68385418373873 0.494067247645818 NA
"ABCC8" 97.9756860840821 1.00070107724579 0.363090678665954 2.75606380456393 0.00585015838754958 0.0802693252053057
"ABCC9" 1.91190723131071 -1.59258665331535 3.08606606565172 -0.516057213110577 0.605814450417329 NA
"ABCD1" 3784.5206248708 0.00293973889510341 0.0719658142170189 0.0408491021339435 0.967416194159867 0.996373924110837
"ABCD2" 10.5489383722105 0.264941645998559 1.04283271005661 0.254059585438374 0.799449525294182 0.990390520497248
"ABCD3" 4075.88569844273 -0.0893358808409753 0.0852034377679066 -1.04850089598879 0.29440788970441 0.818016111203723
"ABCD4" 589.545121335034 0.0547778642833557 0.14943858357162 0.366557705340554 0.713948961556955 0.976272649229814
"ABCE1" 7599.99401485769 0.0266471757780872 0.0611795873898433 0.435556644216776 0.663158432917507 0.969330911949466
"ABCF1" 3839.71849500705 0.10041375791271 0.0669852473233809 1.49904287772423 0.133862508910166 0.582900656417885
"ABCF1-DT" 2.98209520192634 1.6538142299938 1.90664905291373 0.867393098623185 0.385726661926822 NA
"ABCF1_3" 3839.71849500705 0.10041375791271 0.0669852473233809 1.49904287772423 0.133862508910166 0.582900656417885
"ABCF1_4" 3839.71849500705 0.10041375791271 0.0669852473233809 1.49904287772423 0.133862508910166 0.582900656417885
"ABCF2" 4353.26665550812 0.0436564220521953 0.0734181537930459 0.594627075140787 0.552092777723405 0.943799696738206
"ABCF2-H2BK1" 3719.23436792417 0.209540251881943 0.0658154918876696 3.18375272860644 0.00145379142580055 0.0271622790667707
"ABCF3" 2385.1461904497 -0.0225815258595362 0.0843794964035796 -0.267618637489026 0.788992883451996 0.990343304732665
"ABCG1" 45.9805670279228 0.0814736728899901 0.515217851155235 0.158134413835444 0.874350883450153 0.995544892111965
"ABCG2" 99.6753155471794 0.298146604213639 0.34571794669893 0.862398400373704 0.388468320501432 0.877948630205091
"ABCG4" 3.86625219783394 -1.09259415076544 1.70357295177937 -0.641354483601209 0.521292398207673 NA
"ABCG5" 1.24742242590645 -1.81474508694528 3.63358181567442 -0.49943696853526 0.617471580952619 NA
"ABCG8" 9.71460287390759 -0.388994240994404 1.13357913881905 -0.34315578654672 0.731481264570216 0.979596232693339
"ABHD1" 2.95541193875569 -0.39855953445681 1.8178121631226 -0.21925232020242 0.826453501190123 NA
"ABHD10" 1153.45025960442 -0.243576253651225 0.117724487560622 -2.06903643157331 0.0385426681163197 0.296301554054588
"ABHD11" 705.701281986915 0.00503850943011815 0.130759142734611 0.0385327505575981 0.969262919696778 0.997021095235624
"ABHD12" 1395.38869637762 0.0441212160483874 0.106784967730909 0.413178155932677 0.679476091117466 0.97171332123596
"ABHD12B" 74.1154893031606 0.00175471677425126 0.394810922924106 0.00444444839888223 0.996453854915823 0.999536751869748
"ABHD13" 900.438270031118 0.00899428353946387 0.135068237309222 0.0665906634945755 0.946907578700247 0.996035959224712
"ABHD14A" 859.513291459085 0.125799832597789 0.129133139323957 0.974187054201428 0.329963671331748 0.845787356699211
"ABHD14B" 903.467264529032 0.106802470721898 0.123539759854279 0.8645190086809 0.387302842718149 0.877689574014301
"ABHD15" 488.831766676867 -0.201494956798706 0.164421071851693 -1.22548134815989 0.220393913432486 0.735623706565686
"ABHD16A_5" 425.568365247515 0.182355924777234 0.182307950567132 1.00026314930288 0.317183175763844 0.838851354580165
"ABHD16A_6" 425.568365247515 0.182355924777234 0.182307950567132 1.00026314930288 0.317183175763844 0.838851354580165
"ABHD17A" 1984.23154825117 0.087255475084177 0.089724225632412 0.972485128393873 0.330809259789379 0.846199996829348
"ABHD17B" 762.47554658382 0.150330957363878 0.149400932069884 1.00622503006581 0.314307334339459 0.837130834580683
"ABHD17C" 414.184097029437 -0.403562187953608 0.176465230702546 -2.28692182786909 0.0222003863064034 0.208054365522591
"ABHD18" 522.334835294848 -0.163543361030297 0.155057412495402 -1.05472778371783 0.291549841046382 0.815042327105364
"ABHD2" 3821.29100624097 0.0711946254229373 0.0672395534124399 1.05882061688062 0.289681482414004 0.814287654154022
"ABHD3" 666.047319482393 -0.0593949194225178 0.138612341390788 -0.428496617448127 0.668289595698066 0.970653219545046
"ABHD4" 1877.20986060239 -0.117877446830957 0.090906988472852 -1.29668190324178 0.194740658494165 0.691834273896428
"ABHD5" 1134.32538768412 -0.0256875630515069 0.122729011676367 -0.209303103647931 0.834211629075425 0.991362019186515
"ABHD6" 470.339952586088 -0.341406816298575 0.161526049739026 -2.11363316845907 0.0345466106378131 0.277304654303747
"ABHD8" 307.759160387276 -0.0667494378734099 0.19402325690767 -0.344028024976274 0.73082521015504 0.979596232693339
"ABI1" 1740.41408908098 0.205131790474015 0.0913325827941009 2.24598696542352 0.0247048428179767 0.22440178049131
"ABI2" 3018.20978578256 0.11059018510141 0.0709987238752009 1.55763623717803 0.119319503472414 0.550616485949841
"ABI3" 0.714314528389069 -0.93251731583603 4.3929068298323 -0.212277963535054 0.831890186222815 NA
"ABI3BP" 12.2920733845485 0.64609982878648 0.972646272530553 0.66427009184491 0.506517459553357 0.927548153949763
"ABITRAM" 1123.83672596308 -0.105491905572681 0.121035369161053 -0.871579161561531 0.383438002911205 0.87560742059593
"ABL1" 16259.329267636 0.323853653765343 0.0584792435293847 5.53792481263224 3.06076599963013e-08 1.615599408384e-06
"ABL2" 7247.12645363635 0.278131075899572 0.0664834132766343 4.18346565243698 2.87098483780824e-05 0.00090628359610486
"ABLIM1" 8833.34428400228 0.0195963620202912 0.0514513878309898 0.38087139815669 0.703298676704466 0.974100042888551
"ABLIM2" 24.6601169543198 -0.550653644827084 0.667355673503818 -0.825127689311438 0.409299101063412 0.890008538561497
"ABLIM3" 1143.39307707906 0.0580466095663014 0.108744551399372 0.533788670966339 0.593487752759961 0.954825372371311
"ABO" 1.00053184795954 0.108047981466534 3.31185820551424 0.0326245795446903 0.973973968618783 NA
"ABR" 9.85466887250345 -1.63295486617777 1.71871142685202 -0.950104153999066 0.342059332701757 0.850090720032338
"ABRA" 3.09471595868777 -0.689602588455375 2.16630049885457 -0.31833191601073 0.750233177020295 NA
"ABRACL" 270.950572062004 -0.0185286061956567 0.22049478489561 -0.0840319475330394 0.933031031132379 0.995544892111965
"ABRAXAS1" 422.211748157297 -0.179725798794047 0.170851339145825 -1.05194258173562 0.292825893861149 0.81608532075931
"ABRAXAS2" 1506.70632357678 -0.0215006798990684 0.0981158406328113 -0.219135664133302 0.82654436989574 0.991362019186515
"ABR_1" 469.967467104472 0.00587347802605153 0.578513734148117 0.0101527028302974 0.991899454325356 0.998411168556846
"ABR_2" 2330.84513055158 0.430441949831285 0.097908843065749 4.39635416325193 1.10084263654345e-05 0.000387380307748323
"ABT1" 1233.91048153787 0.0751532194181992 0.110029870179741 0.683025612003642 0.494590658643837 0.92198911586244
"ABT1_1" 8.73315299515657 0.510017943328803 4.58877975694461 0.11114456791197 0.911501707568176 0.995544892111965
"ABTB1" 213.518580901317 -0.0776317153692509 0.233836628947712 -0.331991252690399 0.739895864121271 0.981052603417986
"ABTB2" 4220.46897791825 1.56237853553762 0.0747877375181271 20.8908383564742 6.48706366969565e-97 3.2979890272329e-94
"ACAA1" 1536.66414500414 0.0135141757170178 0.092940987018933 0.145405984490619 0.884390339941056 0.995544892111965
"ACAA2" 1802.60395196406 -0.0412674265999887 0.101563417644097 -0.406321759913592 0.684506199069375 0.972288487370138
"ACACA" 5344.86180551312 -0.479822170331431 0.0621590528880007 -7.71926450031314 1.17002880591991e-14 1.13586866842044e-12
"ACACA_1" 2447.03608299427 0.770836176557202 0.102601076834161 7.51294431152164 5.78121248682696e-14 5.39551903541111e-12
"ACACB" 591.40447095991 -0.571765031947094 0.155957850238065 -3.66615102140938 0.000246228547001326 0.0060443320197187
"ACAD10" 455.147203293817 -0.333529285160662 0.160988317578722 -2.071760797162 0.0382877543488814 0.296124999005595
"ACAD11" 409.637500693437 -0.0769792258828639 0.178912473057817 -0.430261929574845 0.667005117225203 0.970478565138504
"ACAD8" 340.022026173684 -0.0945701459096813 0.216632843386254 -0.436545744548363 0.662440817305574 0.969169477676044
"ACAD9" 3589.35311698027 0.0674991845325934 0.0666148024371872 1.01327605972021 0.310928319285342 0.832315948492937
"ACAD9-DT" 17.8875301245081 -0.688235301262422 0.790768115316574 -0.870337698159335 0.384115883035439 0.875709581838934
"ACADL" 17.1242470551261 -0.0215696117171642 0.834293071698245 -0.0258537586477353 0.979373982958018 0.997431192960773
"ACADM" 2347.34893829151 -0.0647473427185684 0.0810754245690929 -0.798606273882542 0.424518748612987 0.895967944972174
"ACADS" 68.7117347384102 -0.0989722648862933 0.41030828760985 -0.241214393847202 0.809388955550716 0.991105008386124
"ACADSB" 310.939522808789 -0.0762288859562693 0.211767007044664 -0.359965827633347 0.718872688541806 0.977332967624148
"ACADVL" 6856.24266609726 0.0459198401017084 0.0570796089113876 0.804487644142691 0.421115402357138 0.894236960592948
"ACAN" 0.28514707102464 1.65094625022856 4.9809796702113 0.331450108118695 0.740304520970826 NA
"ACAP1" 10.3793049712459 -0.0511945392805156 1.01284307363475 -0.0505453812275142 0.959687786608488 0.996270432534758
"ACAP1_1" 10.3793049712459 -0.0511945392805156 1.01284307363475 -0.0505453812275142 0.959687786608488 0.996270432534758
"ACAP2" 2143.46379409663 -0.152023723576422 0.0863835794871004 -1.7598683045905 0.0784301384781262 0.441465463447205
"ACAP3" 2657.58452338072 -0.221399397152779 0.0889506994064248 -2.48901243756593 0.0128098484334346 0.141737377941307
"ACAT1" 2119.07903294435 0.000748056347650687 0.0833876356092565 0.00897083053362948 0.992842408821913 0.998809130778735
"ACAT2" 3963.79256431434 0.0275353820620154 0.0742523084491314 0.370835367103493 0.710760157432508 0.975643519914724
"ACBD3" 3465.26793593467 0.0915896474107492 0.0689201896327079 1.32892332274261 0.183873268355672 0.674796220300552
"ACBD3-AS1" 1.03878834103727 3.5534194752725 3.67622891351803 0.966593636812455 0.333747216838665 NA
"ACBD4" 159.123130491545 -0.105031733989862 0.268200862315346 -0.391615944419926 0.695342005122537 0.973441148544372
"ACBD5" 898.764895969424 -0.285251213961853 0.118003541004252 -2.41731062927658 0.0156356674916261 0.165089369660602
"ACBD6" 2497.12429028194 -0.053478471365846 0.079384556580334 -0.673663413509502 0.500525327203949 0.924064715294663
"ACBD7" 17.1021713925782 -0.877536116653663 0.822541358623044 -1.06685956572771 0.286035255900914 0.81144127881788
"ACCS" 173.586019061583 -0.128254318794872 0.272539942118583 -0.470589073285516 0.63793421205318 0.963797980777663
"ACCSL" 5.56974263620949 0.391855655687036 1.37876965598518 0.28420675925526 0.776251935825035 NA
"ACD" 1062.15719809956 0.11038260300978 0.121542531793032 0.908180876121165 0.363782666185699 0.86331881315157
"ACE" 0.525180785472176 0.208690615678081 4.97488979337717 0.0419487917010545 0.966539520452323 NA
"ACE2" 0.955418491382438 -1.51538311703374 3.38490651073614 -0.447688322329523 0.654378150619774 NA
"ACER1" 1.44180765950397 -3.92257759419792 3.22771127389228 -1.21528143670289 0.224258769481596 NA
"ACER2" 77.6257677579991 0.0824150095979367 0.385588718617674 0.213738124635473 0.830751279119229 0.991362019186515
"ACER3" 1669.76613293467 0.041941079966563 0.094335779122941 0.444593560963802 0.65661350160883 0.968596525395278
"ACER3-AS1" 7.85938222908107 -0.285562557545124 1.16086531168746 -0.245991119443499 0.805689106981361 NA
"ACHE" 3.10682431286777 -1.73311696252246 2.1242922408264 -0.815856184574788 0.414582394484463 NA
"ACIN1" 12397.5260051096 0.0221656419783382 0.069453808618605 0.319142210041459 0.749618676885844 0.983793338335051
"ACKR2" 3.15718916012549 -1.66086249258838 1.85824818795147 -0.893778615449271 0.371440352992252 NA
"ACKR3" 2831.93579868093 -0.430815350816318 0.11201673765424 -3.84599087456114 0.000120066231325911 0.00330892941937985
"ACKR4" 11.4228014533108 -1.32004601741629 1.07444420495569 -1.22858498498833 0.219227447918148 0.733342862416384
"ACLY" 33496.8009455034 0.0553676782006272 0.0467075024213961 1.18541294931805 0.235854214283399 0.758378032772837
"ACMSD" 2.61411340551978 -0.278447232270212 2.3663534664136 -0.117669332254163 0.906329667241353 NA
"ACO1" 5253.0763267039 0.547324875142736 0.0665567724804697 8.22342873226526 1.97766305599731e-16 2.08778538682033e-14
"ACO2" 6392.24181886514 0.131731339054335 0.0682500144622732 1.93012910095649 0.0535908435122855 0.360237127979765
"ACOD1" 0.525180785472176 0.208690615678081 4.97488979337717 0.0419487917010545 0.966539520452323 NA
"ACOT1" 42.961374743064 0.264844549674769 0.782578432774209 0.338425566797063 0.735042510061613 0.980059298388971
"ACOT11" 73.2136389676497 -0.316492361951152 0.393019798814834 -0.805283507104597 0.420656096999639 0.894119830337334
"ACOT12" 15.6631481202238 -0.206194206446628 0.867136886287104 -0.237787377872378 0.812046008921012 0.991105008386124
"ACOT13" 1153.05406614696 -0.0537201363290339 0.10465226148828 -0.513320357965224 0.607727245657989 0.956393124623232
"ACOT2" 748.727407402392 -0.0570633184634955 0.145962626694377 -0.39094472164424 0.695838096217624 0.973441148544372
"ACOT4" 59.1180042143156 0.32632274130019 0.451348761968002 0.722994652466388 0.469683169579878 0.912307375137106
"ACOT6" 4.7525579162133 0.558956878897013 1.51704319821783 0.368451524355836 0.712536584514789 NA
"ACOT7" 3477.35690844621 0.191200992566316 0.069771034820556 2.74040643166703 0.00613632512671082 0.0831947888415722
"ACOT8" 785.567607061234 0.0719869830717255 0.134701279381501 0.534419445771143 0.593051368155183 0.954564414889983
"ACOT9" 2427.85490533573 0.161385473326912 0.0777313369618175 2.0761957742498 0.0378758479580997 0.294693317238232
"ACOX1" 1181.94831658785 0.0627475862815864 0.110124655392869 0.569786902467344 0.568822239978624 0.94875913495718
"ACOX2" 1.47952902830878 -0.889799504487463 2.92274476551328 -0.304439687990067 0.760792935168445 NA
"ACOX3" 847.67263403587 0.0342382960086042 0.132030192719128 0.259321715006812 0.795387026176761 0.990390520497248
"ACOXL" 2.2405622860937 -0.213536965354963 2.05655865460064 -0.103832178516897 0.917302529714853 NA
"ACP1" 4649.74963077976 0.0386620363017382 0.0617481010411706 0.626125105871033 0.531232886156859 0.935915900688489
"ACP2" 3139.39754812178 0.132976101662293 0.0781509989466882 1.70152785574762 0.0888439116816989 0.471990825699248
"ACP3" 1.91137210703779 -1.58218495971732 2.63414052230068 -0.600645617165265 0.54807604780935 NA
"ACP4" 6.20968467553476 -0.709910687497574 1.37609531038108 -0.515887731134683 0.605932823509522 NA
"ACP5" 1.67498451045213 -2.51053546524162 2.8608050139193 -0.877562592706098 0.380181136985568 NA
"ACP6" 349.369195330976 -0.238309142507455 0.193721474258442 -1.23016378757023 0.218635777360937 0.73283974719707
"ACP7" 4.44179783056384 -0.891886762134482 1.52214189329695 -0.585941932261426 0.5579145373226 NA
"ACRBP" 5.96751046399556 -0.616721827104632 1.32713785488708 -0.464700652485801 0.642145841041303 NA
"ACRV1" 12.0345710594554 0.467449243251744 0.97875671654424 0.477594927677428 0.632938541786156 0.9632633742358
"ACSBG1" 24.5035618553121 -0.0503121571253392 0.704495086340463 -0.0714159092105076 0.943066748219815 0.996035959224712
"ACSBG2" 6.28459228887147 0.233767412514383 1.29133179949737 0.181028154503261 0.856345477001922 NA
"ACSF2" 45.8586154158276 -0.532189941252 0.521424877881419 -1.02064547325459 0.307422436852522 0.829797038116996
"ACSF3" 685.661153729256 -0.082337172792369 0.138716505503655 -0.59356435265881 0.552803529344926 0.944120151820244
"ACSL1" 758.046238295062 -0.0276556464628732 0.130909553410753 -0.211257664107206 0.832686216500451 0.991362019186515
"ACSL3" 8821.83568809105 0.041556942143541 0.0507281322391142 0.819208993298955 0.412667184738198 0.892257117174845
"ACSL3-AS1" 11.139267980485 0.0241395790356806 0.981284528024418 0.0245999792580852 0.980374035845271 0.997431192960773
"ACSL4" 7066.22360695809 0.28016319097905 0.0543812123311999 5.15183790447262 2.57945946593639e-07 1.21542871762012e-05
"ACSL5" 25.4922026410257 0.223720057628769 0.66166167154455 0.338118508673063 0.735273883198099 0.980059298388971
"ACSL6" 0.961740230608895 -3.33834136806895 3.83155510372943 -0.871275833882591 0.383603562200535 NA
"ACSM2A" 0.480602553167989 -2.33758463478015 4.89226991299739 -0.47781186981729 0.632784112073485 NA
"ACSM3" 10.8420125552803 0.204881160152757 1.00794311554299 0.203266590141235 0.838926667596335 0.991362019186515
"ACSM5" 2.01156667728033 -1.37751357276591 2.52433932994801 -0.545692711127819 0.585277183092398 NA
"ACSM6" 1.22845720822708 2.04659091184058 3.12871817870445 0.654130795726714 0.513027542464182 NA
"ACSS1" 2.75995645661234 0.371972220889718 1.87464098174554 0.198423177830755 0.842713984664264 NA
"ACSS2" 479.646958459188 0.00190516673882376 0.17375726013009 0.0109645302728495 0.991251745866388 0.998123239778628
"ACSS3" 6.26111977133832 -0.684853032650619 1.44500928235052 -0.473943690892146 0.635540061957008 NA
"ACTA1" 12.9281607881784 -0.4477938394615 0.916441315378814 -0.488622492184787 0.625108986182055 0.961120613135783
"ACTA2" 12428.547689086 0.239606584262316 0.054361861900037 4.40762284233229 1.04511327921628e-05 0.000372519251682274
"ACTA2-AS1" 28.6703977638737 -0.159338385962128 0.641095765664027 -0.248540693132001 0.80371608899534 0.990437437859283
"ACTB" 589216.35390938 0.215171291717714 0.0523686145822403 4.1087833511388 3.97748984038813e-05 0.00122553630345229
"ACTBL2" 8.50897374443536 1.56040475219883 1.31401145460595 1.18751229049732 0.235025611574955 NA
"ACTC1" 1819.05708810974 0.027370226523716 0.0964163142163663 0.283875470102445 0.77650581552515 0.987467133639437
"ACTG1" 109672.81969691 0.27728534279576 0.0554393572043614 5.00159736292805 5.68572401428253e-07 2.52511499383734e-05
"ACTG1P17" 5.24794444492587 -0.294205476423786 1.46578700503388 -0.200715025725709 0.840921409980484 NA
"ACTG1P20" 3047.71068223333 0.0989513261317088 0.123684597242845 0.80002949710404 0.423693707244695 0.895786021090729
"ACTG1P25" 6.62482057356155 0.156421152520786 1.44199255666192 0.108475700375934 0.91361835504896 NA
"ACTG1P4" 71.3153525995925 0.280690638740465 0.397826376794322 0.705560654379595 0.480461399741174 0.916975118300713
"ACTG1_1" 109672.81969691 0.27728534279576 0.0554393572043614 5.00159736292805 5.68572401428253e-07 2.52511499383734e-05
"ACTG2" 489.466058420237 0.166109773378456 0.161231466446312 1.03025654383519 0.302889592749339 0.826994141803714
"ACTL10" 78.6736633228532 -0.309046194587665 0.408510824618778 -0.75651898545422 0.449338093874187 0.903314989611589
"ACTL6A" 2975.25779216113 0.0124972152227948 0.0733813792441759 0.170304992240749 0.864770285374927 0.994855154923364
"ACTL6B" 0.936988397975984 3.41380301417568 4.66034614814562 0.732521341903766 0.46385042130541 NA
